theoretical_model,construct,variable_role,response_scale,priority_for_mapping,number_of_items,item_codes
Socioecological model,Household assets,SES proxy,asset_count,Medium,3,"AFL2, AFL3, AFL4"
Socioecological model,Positive peer environment,Qualitative construct,open_text,Medium,1,Q02
Socioecological model,School adult support,Qualitative construct,open_text,High,1,Q01
Socioecological model,School climate,Qualitative construct,open_text,High,1,Q04
Socioecological model,School connectedness,Qualitative construct,open_text,High,1,Q06
Socioecological model,School grade,Main sample criterion,single_choice_grade,High,1,GRADE
Socioecological model,School-based information,School context variable,yes_no,High,1,INA4
Socioecological model / Health Belief Model,School-based sexual health knowledge,Qualitative construct,open_text,High,1,Q07
Socioecological model / Planned Behaviour mediation,Family monitoring,Contextual predictor,likert_agreement_5,High,2,"LFA1, LFA2"
Socioecological model / Planned Behaviour mediation,Family support,Contextual predictor,likert_agreement_5,High,1,LFA3
Theory of Planned Behaviour,Attitude toward condom/contraceptive use,Explanatory construct,likert_agreement_5,High,1,APC1
Theory of Planned Behaviour,Attitude toward consistent protection,Explanatory construct,likert_agreement_5,High,1,APC2
Theory of Planned Behaviour,Attitude toward delaying sex,Explanatory construct,likert_agreement_5,High,2,"AIS2, AIS3"
Theory of Planned Behaviour,Attitude toward dual protection,Explanatory construct,likert_agreement_5,Medium,1,APC3
Theory of Planned Behaviour,Attitude toward sexual initiation,Explanatory construct,likert_agreement_5,Medium,1,AIS1
Theory of Planned Behaviour,Descriptive peer norm,Explanatory construct,likert_agreement_5,High,1,NP4
Theory of Planned Behaviour,Descriptive peer norm,Explanatory construct,likert_agreement_5,Medium,1,NPP3
Theory of Planned Behaviour,Injunctive peer norm,Explanatory construct,likert_agreement_5,High,2,"NP5, NP6"
Theory of Planned Behaviour,Intention to abstain,Dependent variable or mediator,likert_agreement_5,Medium,1,IPS2
Theory of Planned Behaviour,Intention to delay sex,Dependent variable or mediator,likert_agreement_5,High,1,IPS1
Theory of Planned Behaviour,Intention to use condom,Dependent variable,likert_agreement_5,High,1,IPC1
Theory of Planned Behaviour,Intention to use contraception,Dependent variable,likert_agreement_5,High,1,IPC2
Theory of Planned Behaviour,Negotiation self-efficacy,Explanatory construct,likert_agreement_5,High,1,EPC3
Theory of Planned Behaviour,Peer subjective norm,Explanatory construct,likert_agreement_5,High,2,"NPP1, NPP2"
Theory of Planned Behaviour,Perceived behavioural control,Explanatory construct,likert_agreement_5,High,2,"EPC1, EPC2"
Theory of Planned Behaviour,Refusal self-efficacy,Mediator or explanatory construct,likert_agreement_5,High,1,EIS2
Theory of Planned Behaviour,Self-efficacy to delay sex,Mediator or explanatory construct,likert_agreement_5,High,1,EIS1
Theory of Planned Behaviour / Socioecological,Peer pressure control,Mediator or peer-norm construct,likert_agreement_5,High,1,EIS3
