variable,variable_label,variable_class,variable_role,main_n_total,main_n_missing,main_n_nonmissing,main_pct_missing,main_pct_nonmissing,main_weighted_pct_nonmissing,main_n_unique_nonmissing,main_is_binary_01,main_availability_class,strict_n_total,strict_n_missing,strict_n_nonmissing,strict_pct_missing,strict_pct_nonmissing,strict_weighted_pct_nonmissing,strict_availability_class,preliminary_modeling_decision,final_decision,final_role,reviewer_note
num_H1BC5,NA,numeric,numeric_cleaned_item,3259,78,3181,2.39,97.61,97.29,5,FALSE,high_availability,3240,73,3167,2.25,97.75,97.48,high_availability,candidate_for_modeling,,,
num_H1BC6,NA,numeric,numeric_cleaned_item,3259,69,3190,2.12,97.88,97.62,5,FALSE,high_availability,3240,65,3175,2.01,97.99,97.78,high_availability,candidate_for_modeling,,,
num_H1BC7,NA,numeric,numeric_cleaned_item,3259,44,3215,1.35,98.65,98.43,5,FALSE,high_availability,3240,40,3200,1.23,98.77,98.59,high_availability,candidate_for_modeling,,,
num_H1BC8,NA,numeric,numeric_cleaned_item,3259,65,3194,1.99,98.01,97.84,5,FALSE,high_availability,3240,60,3180,1.85,98.15,98.03,high_availability,candidate_for_modeling,,,
num_H1CO1,NA,numeric,numeric_cleaned_item,3259,33,3226,1.01,98.99,98.7,2,TRUE,high_availability,3240,32,3208,0.99,99.01,98.7,high_availability,candidate_for_modeling,,,
num_H1ED19,NA,numeric,numeric_cleaned_item,3259,5,3254,0.15,99.85,99.9,5,FALSE,high_availability,3240,4,3236,0.12,99.88,99.91,high_availability,candidate_for_modeling,,,
num_H1ED20,NA,numeric,numeric_cleaned_item,3259,3,3256,0.09,99.91,99.93,5,FALSE,high_availability,3240,2,3238,0.06,99.94,99.94,high_availability,candidate_for_modeling,,,
num_H1ED23,NA,numeric,numeric_cleaned_item,3259,3,3256,0.09,99.91,99.93,5,FALSE,high_availability,3240,2,3238,0.06,99.94,99.94,high_availability,candidate_for_modeling,,,
num_H1ED24,NA,numeric,numeric_cleaned_item,3259,3,3256,0.09,99.91,99.93,5,FALSE,high_availability,3240,2,3238,0.06,99.94,99.94,high_availability,candidate_for_modeling,,,
num_H1GH44,NA,numeric,numeric_cleaned_item,3259,13,3246,0.4,99.6,99.64,5,FALSE,high_availability,3240,12,3228,0.37,99.63,99.66,high_availability,candidate_for_modeling,,,
num_H1GH46,NA,numeric,numeric_cleaned_item,3259,14,3245,0.43,99.57,99.61,5,FALSE,high_availability,3240,12,3228,0.37,99.63,99.68,high_availability,candidate_for_modeling,,,
num_H1GI1M,NA,numeric,numeric_cleaned_item,3259,0,3259,0,100,100,12,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
num_H1GI1Y,NA,numeric,numeric_cleaned_item,3259,0,3259,0,100,100,8,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
num_H1GI20,NA,numeric,numeric_cleaned_item,3259,0,3259,0,100,100,3,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
num_H1HS9,NA,numeric,numeric_cleaned_item,3259,4,3255,0.12,99.88,99.89,2,TRUE,high_availability,3240,3,3237,0.09,99.91,99.91,high_availability,candidate_for_modeling,,,
num_H1MO1,NA,numeric,numeric_cleaned_item,3259,63,3196,1.93,98.07,97.66,5,FALSE,high_availability,3240,56,3184,1.73,98.27,97.87,high_availability,candidate_for_modeling,,,
num_H1MO10,NA,numeric,numeric_cleaned_item,3259,63,3196,1.93,98.07,97.67,5,FALSE,high_availability,3240,56,3184,1.73,98.27,97.87,high_availability,candidate_for_modeling,,,
num_H1MO11,NA,numeric,numeric_cleaned_item,3259,81,3178,2.49,97.51,97.11,5,FALSE,high_availability,3240,74,3166,2.28,97.72,97.31,high_availability,candidate_for_modeling,,,
num_H1MO12,NA,numeric,numeric_cleaned_item,3259,77,3182,2.36,97.64,97.21,5,FALSE,high_availability,3240,70,3170,2.16,97.84,97.41,high_availability,candidate_for_modeling,,,
num_H1MO13,NA,numeric,numeric_cleaned_item,3259,68,3191,2.09,97.91,97.45,5,FALSE,high_availability,3240,61,3179,1.88,98.12,97.65,high_availability,candidate_for_modeling,,,
num_H1MO14,NA,numeric,numeric_cleaned_item,3259,67,3192,2.06,97.94,97.56,5,FALSE,high_availability,3240,60,3180,1.85,98.15,97.76,high_availability,candidate_for_modeling,,,
num_H1MO2,NA,numeric,numeric_cleaned_item,3259,76,3183,2.33,97.67,97.21,5,FALSE,high_availability,3240,69,3171,2.13,97.87,97.41,high_availability,candidate_for_modeling,,,
num_H1MO3,NA,numeric,numeric_cleaned_item,3259,74,3185,2.27,97.73,97.26,5,FALSE,high_availability,3240,67,3173,2.07,97.93,97.45,high_availability,candidate_for_modeling,,,
num_H1MO5,NA,numeric,numeric_cleaned_item,3259,105,3154,3.22,96.78,96.23,5,FALSE,high_availability,3240,97,3143,2.99,97.01,96.45,high_availability,candidate_for_modeling,,,
num_H1MO9,NA,numeric,numeric_cleaned_item,3259,69,3190,2.12,97.88,97.48,5,FALSE,high_availability,3240,62,3178,1.91,98.09,97.68,high_availability,candidate_for_modeling,,,
num_H1PA3,NA,numeric,numeric_cleaned_item,3259,250,3009,7.67,92.33,91.76,5,FALSE,high_availability,3240,246,2994,7.59,92.41,91.84,high_availability,candidate_for_modeling,,,
num_H1PA7,NA,numeric,numeric_cleaned_item,3259,59,3200,1.81,98.19,97.75,2,TRUE,high_availability,3240,58,3182,1.79,98.21,97.75,high_availability,candidate_for_modeling,,,
num_H1PF12,NA,numeric,numeric_cleaned_item,3259,92,3167,2.82,97.18,96.76,5,FALSE,high_availability,3240,90,3150,2.78,97.22,96.81,high_availability,candidate_for_modeling,,,
num_H1PF17,NA,numeric,numeric_cleaned_item,3259,133,3126,4.08,95.92,95.71,5,FALSE,high_availability,3240,129,3111,3.98,96.02,95.85,high_availability,candidate_for_modeling,,,
num_H1PF6,NA,numeric,numeric_cleaned_item,3259,40,3219,1.23,98.77,98.34,5,FALSE,high_availability,3240,37,3203,1.14,98.86,98.43,high_availability,candidate_for_modeling,,,
num_H1PF9,NA,numeric,numeric_cleaned_item,3259,115,3144,3.53,96.47,96.06,5,FALSE,high_availability,3240,111,3129,3.43,96.57,96.2,high_availability,candidate_for_modeling,,,
num_H1PR2,NA,numeric,numeric_cleaned_item,3259,10,3249,0.31,99.69,99.62,6,FALSE,high_availability,3240,9,3231,0.28,99.72,99.63,high_availability,candidate_for_modeling,,,
num_H1PR3,NA,numeric,numeric_cleaned_item,3259,10,3249,0.31,99.69,99.62,6,FALSE,high_availability,3240,9,3231,0.28,99.72,99.63,high_availability,candidate_for_modeling,,,
num_H1PR5,NA,numeric,numeric_cleaned_item,3259,11,3248,0.34,99.66,99.59,6,FALSE,high_availability,3240,10,3230,0.31,99.69,99.6,high_availability,candidate_for_modeling,,,
num_H1PR7,NA,numeric,numeric_cleaned_item,3259,11,3248,0.34,99.66,99.56,6,FALSE,high_availability,3240,10,3230,0.31,99.69,99.57,high_availability,candidate_for_modeling,,,
num_H1PR8,NA,numeric,numeric_cleaned_item,3259,11,3248,0.34,99.66,99.56,6,FALSE,high_availability,3240,10,3230,0.31,99.69,99.57,high_availability,candidate_for_modeling,,,
num_H1RF1,NA,numeric,numeric_cleaned_item,3259,972,2287,29.83,70.17,72.17,12,FALSE,moderate_availability,3240,963,2277,29.72,70.28,72.28,moderate_availability,candidate_for_modeling,,,
num_H1RM1,NA,numeric,numeric_cleaned_item,3259,227,3032,6.97,93.03,92.79,12,FALSE,high_availability,3240,223,3017,6.88,93.12,92.88,high_availability,candidate_for_modeling,,,
num_H1RP3,NA,numeric,numeric_cleaned_item,3259,19,3240,0.58,99.42,99.15,5,FALSE,high_availability,3240,12,3228,0.37,99.63,99.36,high_availability,candidate_for_modeling,,,
num_H1RP5,NA,numeric,numeric_cleaned_item,3259,40,3219,1.23,98.77,98.45,5,FALSE,high_availability,3240,32,3208,0.99,99.01,98.69,high_availability,candidate_for_modeling,,,
num_H1RP6,NA,numeric,numeric_cleaned_item,3259,45,3214,1.38,98.62,98.31,5,FALSE,high_availability,3240,37,3203,1.14,98.86,98.55,high_availability,candidate_for_modeling,,,
num_H1SE1,NA,numeric,numeric_cleaned_item,3259,57,3202,1.75,98.25,97.9,6,FALSE,high_availability,3240,49,3191,1.51,98.49,98.13,high_availability,candidate_for_modeling,,,
num_H1SE2,NA,numeric,numeric_cleaned_item,3259,42,3217,1.29,98.71,98.37,6,FALSE,high_availability,3240,34,3206,1.05,98.95,98.61,high_availability,candidate_for_modeling,,,
num_H1SE3,NA,numeric,numeric_cleaned_item,3259,44,3215,1.35,98.65,98.32,6,FALSE,high_availability,3240,37,3203,1.14,98.86,98.53,high_availability,candidate_for_modeling,,,
num_H1TS8,NA,numeric,numeric_cleaned_item,3259,5,3254,0.15,99.85,99.86,2,TRUE,high_availability,3240,4,3236,0.12,99.88,99.88,high_availability,candidate_for_modeling,,,
num_H1WP1,NA,numeric,numeric_cleaned_item,3259,108,3151,3.31,96.69,96.37,2,TRUE,high_availability,3240,105,3135,3.24,96.76,96.42,high_availability,candidate_for_modeling,,,
num_H1WP10,NA,numeric,numeric_cleaned_item,3259,218,3041,6.69,93.31,93.13,5,FALSE,high_availability,3240,215,3025,6.64,93.36,93.17,high_availability,candidate_for_modeling,,,
num_H1WP13,NA,numeric,numeric_cleaned_item,3259,960,2299,29.46,70.54,72.54,5,FALSE,moderate_availability,3240,951,2289,29.35,70.65,72.66,moderate_availability,candidate_for_modeling,,,
num_H1WP14,NA,numeric,numeric_cleaned_item,3259,960,2299,29.46,70.54,72.54,5,FALSE,moderate_availability,3240,951,2289,29.35,70.65,72.66,moderate_availability,candidate_for_modeling,,,
num_H1WP2,NA,numeric,numeric_cleaned_item,3259,104,3155,3.19,96.81,96.53,2,TRUE,high_availability,3240,101,3139,3.12,96.88,96.59,high_availability,candidate_for_modeling,,,
num_H1WP8,NA,numeric,numeric_cleaned_item,3259,106,3153,3.25,96.75,96.53,8,FALSE,high_availability,3240,103,3137,3.18,96.82,96.59,high_availability,candidate_for_modeling,,,
num_H1WP9,NA,numeric,numeric_cleaned_item,3259,218,3041,6.69,93.31,93.13,5,FALSE,high_availability,3240,215,3025,6.64,93.36,93.17,high_availability,candidate_for_modeling,,,
num_IMONTH,NA,numeric,numeric_cleaned_item,3259,0,3259,0,100,100,10,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
num_IYEAR,NA,numeric,numeric_cleaned_item,3259,0,3259,0,100,100,1,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
num_PA21,NA,numeric,numeric_cleaned_item,3259,556,2703,17.06,82.94,83.12,2,TRUE,high_availability,3240,547,2693,16.88,83.12,83.32,high_availability,candidate_for_modeling,,,
num_PA55,NA,numeric,numeric_cleaned_item,3259,888,2371,27.25,72.75,73.55,133,FALSE,moderate_availability,3240,876,2364,27.04,72.96,73.74,moderate_availability,candidate_for_modeling,,,
num_H1CO13,NA,numeric,numeric_cleaned_item,3259,2778,481,85.24,14.76,14.64,2,TRUE,not_recommended_high_missingness,3240,2762,478,85.25,14.75,14.65,not_recommended_high_missingness,exclude_high_missingness,,,
num_H1CO8,NA,numeric,numeric_cleaned_item,3259,2857,402,87.66,12.34,12.5,2,TRUE,not_recommended_high_missingness,3240,2842,398,87.72,12.28,12.48,not_recommended_high_missingness,exclude_high_missingness,,,
num_H1CO9,NA,numeric,numeric_cleaned_item,3259,3013,246,92.45,7.55,7.88,5,FALSE,not_recommended_high_missingness,3240,2997,243,92.5,7.5,7.86,not_recommended_high_missingness,exclude_high_missingness,,,
num_H1FP7,NA,numeric,numeric_cleaned_item,3259,2363,896,72.51,27.49,27.09,2,TRUE,not_recommended_high_missingness,3240,2348,892,72.47,27.53,27.16,not_recommended_high_missingness,exclude_high_missingness,,,
num_H1FP8,NA,numeric,numeric_cleaned_item,3259,3098,161,95.06,4.94,4.78,4,FALSE,not_recommended_high_missingness,3240,3081,159,95.09,4.91,4.75,not_recommended_high_missingness,exclude_high_missingness,,,
num_H1CO16A,NA,numeric,numeric_cleaned_item,3259,1496,1763,45.9,54.1,53.8,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.85,limited_availability_review_required,review_before_modeling,,,
num_H1CO16C,NA,numeric,numeric_cleaned_item,3259,1495,1764,45.87,54.13,53.84,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.86,limited_availability_review_required,review_before_modeling,,,
num_H1CO16D,NA,numeric,numeric_cleaned_item,3259,1495,1764,45.87,54.13,53.84,2,TRUE,limited_availability_review_required,3240,1487,1753,45.9,54.1,53.86,limited_availability_review_required,review_before_modeling,,,
num_H1CO2M,NA,numeric,numeric_cleaned_item,3259,1603,1656,49.19,50.81,50.73,12,FALSE,limited_availability_review_required,3240,1593,1647,49.17,50.83,50.79,limited_availability_review_required,review_before_modeling,,,
num_H1CO2Y,NA,numeric,numeric_cleaned_item,3259,1594,1665,48.91,51.09,50.83,15,FALSE,limited_availability_review_required,3240,1584,1656,48.89,51.11,50.89,limited_availability_review_required,review_before_modeling,,,
num_H1CO3,NA,numeric,numeric_cleaned_item,3259,1503,1756,46.12,53.88,53.58,2,TRUE,limited_availability_review_required,3240,1494,1746,46.11,53.89,53.62,limited_availability_review_required,review_before_modeling,,,
num_H1CO6,NA,numeric,numeric_cleaned_item,3259,1510,1749,46.33,53.67,53.38,2,TRUE,limited_availability_review_required,3240,1502,1738,46.36,53.64,53.39,limited_availability_review_required,review_before_modeling,,,
num_H1PA6,NA,numeric,numeric_cleaned_item,3259,1106,2153,33.94,66.06,67.82,5,FALSE,moderate_availability,3240,1097,2143,33.86,66.14,67.9,moderate_availability,review_before_modeling,,,
BIO_SEX,BIOLOGICAL SEX-W1,haven_labelled,original_imported_variable,3259,0,3259,0,100,100,2,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
H1BC1,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,haven_labelled,original_imported_variable,3259,51,3208,1.56,98.44,98.1,5,FALSE,high_availability,3240,47,3193,1.45,98.55,98.26,high_availability,candidate_for_modeling,,,
H1BC2,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,haven_labelled,original_imported_variable,3259,62,3197,1.9,98.1,97.82,5,FALSE,high_availability,3240,58,3182,1.79,98.21,97.97,high_availability,candidate_for_modeling,,,
H1BC3,S27Q3 TOO MUCH PLANNING-W1,haven_labelled,original_imported_variable,3259,54,3205,1.66,98.34,98.1,5,FALSE,high_availability,3240,49,3191,1.51,98.49,98.3,high_availability,candidate_for_modeling,,,
H1BC4,S27Q4 HARD TO GET PARTNER TO USE-W1,haven_labelled,original_imported_variable,3259,62,3197,1.9,98.1,97.83,5,FALSE,high_availability,3240,58,3182,1.79,98.21,97.99,high_availability,candidate_for_modeling,,,
H1BC5,S27Q5 INTERFERES WITH PLEASURE-W1,haven_labelled,original_imported_variable,3259,78,3181,2.39,97.61,97.29,5,FALSE,high_availability,3240,73,3167,2.25,97.75,97.48,high_availability,candidate_for_modeling,,,
H1BC6,S27Q6 EASY TO GET BIRTHCONTROL-W1,haven_labelled,original_imported_variable,3259,69,3190,2.12,97.88,97.62,5,FALSE,high_availability,3240,65,3175,2.01,97.99,97.78,high_availability,candidate_for_modeling,,,
H1BC7,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,haven_labelled,original_imported_variable,3259,44,3215,1.35,98.65,98.43,5,FALSE,high_availability,3240,40,3200,1.23,98.77,98.59,high_availability,candidate_for_modeling,,,
H1BC8,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,haven_labelled,original_imported_variable,3259,65,3194,1.99,98.01,97.84,5,FALSE,high_availability,3240,60,3180,1.85,98.15,98.03,high_availability,candidate_for_modeling,,,
H1CO1,S24Q1 EVER HAVE SEX-W1,haven_labelled,original_imported_variable,3259,33,3226,1.01,98.99,98.7,2,TRUE,high_availability,3240,32,3208,0.99,99.01,98.7,high_availability,candidate_for_modeling,,,
H1ED19,S5Q19 FEEL CLOSE TO PEOPLE AT SCHOOL-W1,haven_labelled,original_imported_variable,3259,5,3254,0.15,99.85,99.9,5,FALSE,high_availability,3240,4,3236,0.12,99.88,99.91,high_availability,candidate_for_modeling,,,
H1ED20,S5Q20 FEEL PART OF YOUR SCHOOL-W1,haven_labelled,original_imported_variable,3259,3,3256,0.09,99.91,99.93,5,FALSE,high_availability,3240,2,3238,0.06,99.94,99.94,high_availability,candidate_for_modeling,,,
H1ED23,S5Q23 TEACHERS TREAT STUDENTS FAIRLY-W1,haven_labelled,original_imported_variable,3259,3,3256,0.09,99.91,99.93,5,FALSE,high_availability,3240,2,3238,0.06,99.94,99.94,high_availability,candidate_for_modeling,,,
H1ED24,S5Q24 FEEL SAFE IN YOUR SCHOOL-W1,haven_labelled,original_imported_variable,3259,3,3256,0.09,99.91,99.93,5,FALSE,high_availability,3240,2,3238,0.06,99.94,99.94,high_availability,candidate_for_modeling,,,
H1GH44,S3Q44 CHANCES OF GETTING AIDS-W1,haven_labelled,original_imported_variable,3259,13,3246,0.4,99.6,99.64,5,FALSE,high_availability,3240,12,3228,0.37,99.63,99.66,high_availability,candidate_for_modeling,,,
H1GH46,S3Q46 CHANGES OF GETTING OTHER STDS-W1,haven_labelled,original_imported_variable,3259,14,3245,0.43,99.57,99.61,5,FALSE,high_availability,3240,12,3228,0.37,99.63,99.68,high_availability,candidate_for_modeling,,,
H1GI1M,S1Q1 BIRTH MONTH-W1,haven_labelled,original_imported_variable,3259,0,3259,0,100,100,12,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
H1GI1Y,S1Q1 BIRTH YEAR-W1,haven_labelled,original_imported_variable,3259,0,3259,0,100,100,8,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
H1GI20,S1Q20 GRADE-W1,haven_labelled,original_imported_variable,3259,0,3259,0,100,100,3,FALSE,high_availability,3240,0,3240,0,100,100,high_availability,candidate_for_modeling,,,
H1HS9,S7Q9 TESTING/TREATMENT FOR STDS-W1,haven_labelled,original_imported_variable,3259,4,3255,0.12,99.88,99.89,2,TRUE,high_availability,3240,3,3237,0.09,99.91,99.91,high_availability,candidate_for_modeling,,,
H1MO1,S17Q1 IF SEX GAIN MORE RESPECT-W1,haven_labelled,original_imported_variable,3259,63,3196,1.93,98.07,97.66,5,FALSE,high_availability,3240,56,3184,1.73,98.27,97.87,high_availability,candidate_for_modeling,,,
H1MO10,S17Q10 IF PREGNANT EMBARRASS SELF-W1,haven_labelled,original_imported_variable,3259,63,3196,1.93,98.07,97.67,5,FALSE,high_availability,3240,56,3184,1.73,98.27,97.87,high_availability,candidate_for_modeling,,,
H1MO11,S17Q11 IF PREGNANT HAVE TO QUIT SCH-W1,haven_labelled,original_imported_variable,3259,81,3178,2.49,97.51,97.11,5,FALSE,high_availability,3240,74,3166,2.28,97.72,97.31,high_availability,candidate_for_modeling,,,
H1MO12,S17Q12 IF PREGNANT MARRY WRONG PERSON-W1,haven_labelled,original_imported_variable,3259,77,3182,2.36,97.64,97.21,5,FALSE,high_availability,3240,70,3170,2.16,97.84,97.41,high_availability,candidate_for_modeling,,,
H1MO13,S17Q13 IF PREGNANT GROW UP TOO FAST-W1,haven_labelled,original_imported_variable,3259,68,3191,2.09,97.91,97.45,5,FALSE,high_availability,3240,61,3179,1.88,98.12,97.65,high_availability,candidate_for_modeling,,,
H1MO14,S17Q14 IF PREGNANT MAKE HARD DECISION-W1,haven_labelled,original_imported_variable,3259,67,3192,2.06,97.94,97.56,5,FALSE,high_availability,3240,60,3180,1.85,98.15,97.76,high_availability,candidate_for_modeling,,,
H1MO2,S17Q2 IF SEX LOSE PARTNER RESPECT-W1,haven_labelled,original_imported_variable,3259,76,3183,2.33,97.67,97.21,5,FALSE,high_availability,3240,69,3171,2.13,97.87,97.41,high_availability,candidate_for_modeling,,,
H1MO3,S17Q3 IF SEX WOULD FEEL GUILTY-W1,haven_labelled,original_imported_variable,3259,74,3185,2.27,97.73,97.26,5,FALSE,high_availability,3240,67,3173,2.07,97.93,97.45,high_availability,candidate_for_modeling,,,
H1MO5,S17Q5 IF SEX LOT OF PHYSICAL PLEASURE-W1,haven_labelled,original_imported_variable,3259,105,3154,3.22,96.78,96.23,5,FALSE,high_availability,3240,97,3143,2.99,97.01,96.45,high_availability,candidate_for_modeling,,,
H1MO9,S17Q9 IF PREGNANT EMBARRASS FAMILY-W1,haven_labelled,original_imported_variable,3259,69,3190,2.12,97.88,97.48,5,FALSE,high_availability,3240,62,3178,1.91,98.09,97.68,high_availability,candidate_for_modeling,,,
H1PA3,S34Q3 MOM-USE OF BIRTHCONTROL-W1,haven_labelled,original_imported_variable,3259,250,3009,7.67,92.33,91.76,5,FALSE,high_availability,3240,246,2994,7.59,92.41,91.84,high_availability,candidate_for_modeling,,,
H1PA7,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,haven_labelled,original_imported_variable,3259,59,3200,1.81,98.19,97.75,2,TRUE,high_availability,3240,58,3182,1.79,98.21,97.75,high_availability,candidate_for_modeling,,,
H1PF12,S18Q12 FRIENDS KNOW HOW TO USE CONDOM-W1,haven_labelled,original_imported_variable,3259,92,3167,2.82,97.18,96.76,5,FALSE,high_availability,3240,90,3150,2.78,97.22,96.81,high_availability,candidate_for_modeling,,,
H1PF17,S18Q17 FRIENDS KNOW RHYTHM METHOD-W1,haven_labelled,original_imported_variable,3259,133,3126,4.08,95.92,95.71,5,FALSE,high_availability,3240,129,3111,3.98,96.02,95.85,high_availability,candidate_for_modeling,,,
H1PF6,S18Q6 KNOW HOW TO USE CONDOM-W1,haven_labelled,original_imported_variable,3259,40,3219,1.23,98.77,98.34,5,FALSE,high_availability,3240,37,3203,1.14,98.86,98.43,high_availability,candidate_for_modeling,,,
H1PF9,S18Q9 FRIENDS KNOW WITHDRAWAL METHOD-W1,haven_labelled,original_imported_variable,3259,115,3144,3.53,96.47,96.06,5,FALSE,high_availability,3240,111,3129,3.43,96.57,96.2,high_availability,candidate_for_modeling,,,
H1PR2,S35Q2 TEACHERS CARE ABOUT YOU-W1,haven_labelled,original_imported_variable,3259,10,3249,0.31,99.69,99.62,6,FALSE,high_availability,3240,9,3231,0.28,99.72,99.63,high_availability,candidate_for_modeling,,,
H1PR3,S35Q3 PARENTS CARE ABOUT YOU-W1,haven_labelled,original_imported_variable,3259,10,3249,0.31,99.69,99.62,6,FALSE,high_availability,3240,9,3231,0.28,99.72,99.63,high_availability,candidate_for_modeling,,,
H1PR5,S35Q5 FAMILY UNDERSTAND YOU-W1,haven_labelled,original_imported_variable,3259,11,3248,0.34,99.66,99.59,6,FALSE,high_availability,3240,10,3230,0.31,99.69,99.6,high_availability,candidate_for_modeling,,,
H1PR7,S35Q7 FAMIYL HAS FUN TOGETHER-W1,haven_labelled,original_imported_variable,3259,11,3248,0.34,99.66,99.56,6,FALSE,high_availability,3240,10,3230,0.31,99.69,99.57,high_availability,candidate_for_modeling,,,
H1PR8,S35Q8 FAMILY PAYS ATTENTION TO YOU-W1,haven_labelled,original_imported_variable,3259,11,3248,0.34,99.66,99.56,6,FALSE,high_availability,3240,10,3230,0.31,99.69,99.57,high_availability,candidate_for_modeling,,,
