dictionary_row_id,priority_id,thesis_construct_block,thesis_item_codes,theoretical_model,add_health_target_domain,expected_analytic_use,analysis_role,variable_level,equivalence_strategy,expected_wave_priority,add_health_wave,requested_variable_name,sav_variable_name,available_in_sav,import_decision,add_health_variable_label,public_use_status,mapping_quality,final_decision,import_priority,reviewer_notes
11,8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Outcome or key behavioural variable,protective_behaviour_or_intention,behavioural_or_health_outcome,Direct or near-direct protective behaviour,Wave I to Wave III,Wave I,H1CO3,H1CO3,TRUE,import,S24Q3 FIRST TIME SEX-USE BIRTHCONTROL-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Uso de método de contraceção na primeira relação sexual.
12,8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Outcome or key behavioural variable,protective_behaviour_or_intention,behavioural_or_health_outcome,Direct or near-direct protective behaviour,Wave I to Wave III,Wave I,H1CO6,H1CO6,TRUE,import,S24Q6 MOST RECENT SEX-BIRTHCONTROL-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Uso de método de contraceção na relação sexual mais recente.
13,8,Contraceptive use,ISX3; APC; EPC; IPC,Theory of Planned Behaviour,Contraception and birth control,Outcome or key behavioural variable,protective_behaviour_or_intention,behavioural_or_health_outcome,Direct or near-direct protective behaviour,Wave I to Wave III,Wave I,H1CO13,H1CO13,TRUE,import,S24Q13 EVER USE BIRTHCONTROL PILLS-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Uso de pílula anticoncecional alguma vez; mais específico que contraceção geral.
14,9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Outcome or key behavioural variable,reproductive_health_outcome,behavioural_or_health_outcome,Direct or near-direct reproductive health outcome,Wave I to Wave IV,Wave I,H1FP7,H1FP7,TRUE,import,S32BQ7 EVER BEEN PREGNANT-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Indicador principal de gravidez; aplicabilidade varia por sexo e skip pattern.
15,9,Pregnancy outcome,Pregnancy-related outcome,Behavioural risk / reproductive health,Pregnancy history or pregnancy outcome,Outcome or key behavioural variable,reproductive_health_outcome,behavioural_or_health_outcome,Direct or near-direct reproductive health outcome,Wave I to Wave IV,Wave I,H1FP8,H1FP8,TRUE,import,S32BQ8 NUMBER OF PREGNANCIES-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Número de gravidezes; usar apenas entre elegíveis.
16,10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,"Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1CO16D,H1CO16D,TRUE,import,S24Q16A EVER DIAGNOSED-HIV/AIDS-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Diagnóstico autorreportado de HIV/AIDS; usar com cautela devido a baixa frequência/muitos skips.
17,10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,"Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1HS9,H1HS9,TRUE,import,S7Q9 TESTING/TREATMENT FOR STDS-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,1 - import first,"Teste/tratamento de STDs; proxy de exposição/serviço de saúde sexual, não diagnóstico confirmado."
18,10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,"Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1CO16A,H1CO16A,TRUE,import,S24Q16A EVER DIAGNOSED-CHLAMYDIA-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Diagnóstico autorreportado de chlamydia; pode compor índice STI.
19,10,HIV/STI outcome,HIV-related outcome,Health Belief Model / reproductive health,"HIV, AIDS, STI, STD testing or diagnosis",Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,"Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1CO16C,H1CO16C,TRUE,import,S24Q16A EVER DIAGNOSED-GONORRHEA-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Diagnóstico autorreportado de gonorrhea; pode compor índice STI.
20,16,Self-efficacy,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,Theory of Planned Behaviour / Health Belief Model,"Condom, contraception and refusal self-efficacy",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1SE1,H1SE1,TRUE,import,S9Q1 USE BIRTH CONTROL IF AROUSED-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Autoeficácia/intenção: usar birth control se excitado/aroused; recodificar para maior proteção.
21,16,Self-efficacy,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,Theory of Planned Behaviour / Health Belief Model,"Condom, contraception and refusal self-efficacy",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1SE2,H1SE2,TRUE,import,S9Q2 BIRTHCONTROL-ADVANCED PLANNING-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Autoeficácia/planeamento antecipado de birth control; recodificar para maior proteção.
22,16,Self-efficacy,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,Theory of Planned Behaviour / Health Belief Model,"Condom, contraception and refusal self-efficacy",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1SE3,H1SE3,TRUE,import,S9Q3 RESIST SEX IF NO BIRTH CONTROL-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Capacidade de resistir sexo sem birth control; recodificar para maior proteção.
23,16,Self-efficacy,AEF1-AEF7; EPC1-EPC3; EIS1-EIS3,Theory of Planned Behaviour / Health Belief Model,"Condom, contraception and refusal self-efficacy",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1PF6,H1PF6,TRUE,import,S18Q6 KNOW HOW TO USE CONDOM-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Conhecimento/autoeficácia percebida para usar preservativo; maior concordância indica maior capacidade.
24,18,Peer norms,NPP1-NPP3; NP4-NP6,Theory of Planned Behaviour / Socioecological model,Peer norms and peer sexual behaviour,Theory of Planned Behaviour construct,planned_behaviour_construct,peer_context,Construct-level equivalence likely; check public-use restrictions,Wave I to Wave III,Wave I,H1PF12,H1PF12,TRUE,import,S18Q12 FRIENDS KNOW HOW TO USE CONDOM-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,1 - import first,Perceção de amigos saberem usar preservativo; proxy de normas/conhecimento de pares.
25,18,Peer norms,NPP1-NPP3; NP4-NP6,Theory of Planned Behaviour / Socioecological model,Peer norms and peer sexual behaviour,Theory of Planned Behaviour construct,planned_behaviour_construct,peer_context,Construct-level equivalence likely; check public-use restrictions,Wave I to Wave III,Wave I,H1PF9,H1PF9,TRUE,import,S18Q9 FRIENDS KNOW WITHDRAWAL METHOD-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,1 - import first,Perceção de amigos conhecerem método withdrawal; proxy de conhecimento contraceptivo dos pares.
26,18,Peer norms,NPP1-NPP3; NP4-NP6,Theory of Planned Behaviour / Socioecological model,Peer norms and peer sexual behaviour,Theory of Planned Behaviour construct,planned_behaviour_construct,peer_context,Construct-level equivalence likely; check public-use restrictions,Wave I to Wave III,Wave I,H1PF17,H1PF17,TRUE,import,S18Q17 FRIENDS KNOW RHYTHM METHOD-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,1 - import first,Perceção de amigos conhecerem método rhythm; proxy de conhecimento contraceptivo dos pares.
27,19,Family monitoring,LFA1-LFA2,Socioecological model,Parental monitoring,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1WP1,H1WP1,TRUE,import,S16Q1 MAKE OWN DECISION-WKEND CURFEW-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Decisão própria sobre hora de recolher no fim de semana; maior autonomia pode indicar menor monitoria parental.
28,19,Family monitoring,LFA1-LFA2,Socioecological model,Parental monitoring,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1WP2,H1WP2,TRUE,import,S16Q2 MAKE OWN DECISION-FRIEND-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Decisão própria sobre amigos; maior autonomia pode indicar menor monitoria parental.
29,19,Family monitoring,LFA1-LFA2,Socioecological model,Parental monitoring,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1WP8,H1WP8,TRUE,import,S16Q8 FREQ-EAT DINNER W/ PARENT-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,1 - import first,Frequência de jantar com progenitor; proxy de rotina/monitoria familiar.
30,21,School connectedness,Q01-Q07,Socioecological model,School connectedness and school climate,Socioecological predictor or mediator,socioecological_school_construct,school_context,Construct-level equivalence likely,Wave I to Wave II,Wave I,H1ED19,H1ED19,TRUE,import,S5Q19 FEEL CLOSE TO PEOPLE AT SCHOOL-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Sentir-se próximo das pessoas da escola; inverter para índice em que maior valor signifique mais conexão.
31,21,School connectedness,Q01-Q07,Socioecological model,School connectedness and school climate,Socioecological predictor or mediator,socioecological_school_construct,school_context,Construct-level equivalence likely,Wave I to Wave II,Wave I,H1ED20,H1ED20,TRUE,import,S5Q20 FEEL PART OF YOUR SCHOOL-W1,public_use_confirmed,direct_equivalent,accepted_for_import,1 - import first,Sentir-se parte da escola; inverter para índice em que maior valor signifique mais conexão.
32,21,School connectedness,Q01-Q07,Socioecological model,School connectedness and school climate,Socioecological predictor or mediator,socioecological_school_construct,school_context,Construct-level equivalence likely,Wave I to Wave II,Wave I,H1ED23,H1ED23,TRUE,import,S5Q23 TEACHERS TREAT STUDENTS FAIRLY-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Professores tratam alunos de forma justa; inverter se criar índice positivo.
33,21,School connectedness,Q01-Q07,Socioecological model,School connectedness and school climate,Socioecological predictor or mediator,socioecological_school_construct,school_context,Construct-level equivalence likely,Wave I to Wave II,Wave I,H1ED24,H1ED24,TRUE,import,S5Q24 FEEL SAFE IN YOUR SCHOOL-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Sentir-se seguro na escola; inverter se criar índice positivo.
34,21,School connectedness,Q01-Q07,Socioecological model,School connectedness and school climate,Socioecological predictor or mediator,socioecological_school_construct,school_context,Construct-level equivalence likely,Wave I to Wave II,Wave I,H1PR2,H1PR2,TRUE,import,S35Q2 TEACHERS CARE ABOUT YOU-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,1 - import first,Professores importam-se consigo; pode complementar índice de conexão escolar.
35,3,Demographics,GEN,Socioecological model,Sex or gender,Control or stratification,control_variable,baseline_covariate,Direct control variable,Wave I,Wave I,BIO_SEX,BIO_SEX,TRUE,import,BIOLOGICAL SEX-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,Variável de sexo biológico; usar como controlo e estratificação por género/sexo.
36,4,Household socioeconomic status,AFL1-AFL4,Socioecological model,Household assets and family socioeconomic status,Control or stratification,control_or_index_variable,baseline_covariate,Proxy or index construction,Wave I,Wave I,H1RM1,H1RM1,TRUE,import,S14Q1 RES MOM-EDUCATION LEVEL-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Educação da mãe residente; componente SES.
37,4,Household socioeconomic status,AFL1-AFL4,Socioecological model,Household assets and family socioeconomic status,Control or stratification,control_or_index_variable,baseline_covariate,Proxy or index construction,Wave I,Wave I,H1RF1,H1RF1,TRUE,import,S15Q1 RES DAD-EDUCATION LEVEL-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,"Educação do pai residente; componente SES, com mais missing."
38,4,Household socioeconomic status,AFL1-AFL4,Socioecological model,Household assets and family socioeconomic status,Control or stratification,control_or_index_variable,baseline_covariate,Proxy or index construction,Wave I,Wave I,PA55,PA55,TRUE,import,A55 TOTAL HOUSEHOLD INCOME-PQ,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Rendimento total do agregado no questionário dos pais; tratar 9996 como missing/recusa.
39,4,Household socioeconomic status,AFL1-AFL4,Socioecological model,Household assets and family socioeconomic status,Control or stratification,control_or_index_variable,baseline_covariate,Proxy or index construction,Wave I,Wave I,PA21,PA21,TRUE,import,A21 RECEIVING PUBLIC ASSISTANCE-PQ,public_use_confirmed,proxy_equivalent,accepted_for_import,2 - import second,Recebimento de assistência pública; proxy de vulnerabilidade socioeconómica.
40,11,HIV/AIDS knowledge,INA1-INA4; CVS1-CVS9,Health Belief Model,HIV/AIDS knowledge and information exposure,Outcome or key behavioural variable,health_outcome_or_proxy,behavioural_or_health_outcome,"Direct, proxy or related health outcome depending on public-use availability",Wave I to Wave III,Wave I,H1TS8,H1TS8,TRUE,import,S4Q8 LEARNED-AIDS-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,2 - import second,"Aprendeu sobre AIDS; exposição a informação, não teste de conhecimento factual."
42,12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1GH44,H1GH44,TRUE,import,S3Q44 CHANCES OF GETTING AIDS-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Perceção de chance de contrair AIDS; inverter se maior valor deve indicar maior suscetibilidade.
43,12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1GH46,H1GH46,TRUE,import,S3Q46 CHANGES OF GETTING OTHER STDS-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Perceção de chance de contrair outras STDs; inverter se maior valor deve indicar maior suscetibilidade.
44,12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1RP5,H1RP5,TRUE,import,S8Q5 RISK OF PREGNANCY W/O PROTECTION-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,Risco percebido de gravidez sem proteção.
45,12,Perceived susceptibility,SUP1-SUP4,Health Belief Model,Perceived HIV/STI risk,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1RP6,H1RP6,TRUE,import,S8Q6 RISK OF AIDS W/O PROTECTION-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,Risco percebido de AIDS sem proteção.
46,14,Perceived benefits,BEP1-BEP4,Health Belief Model,Benefits of condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC6,H1BC6,TRUE,import,S27Q6 EASY TO GET BIRTHCONTROL-W1,public_use_confirmed,proxy_equivalent,accepted_for_import,2 - import second,Facilidade de obter birth control; pode ser recodificada como benefício/acesso.
49,15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC1,H1BC1,TRUE,import,S27Q1 BIRTHCONTROL TOO BOTHERSOME-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente."
50,15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC2,H1BC2,TRUE,import,S27Q2 BIRTHCONTROL TOO EXPENSIVE-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente."
51,15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC3,H1BC3,TRUE,import,S27Q3 TOO MUCH PLANNING-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente."
52,15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC4,H1BC4,TRUE,import,S27Q4 HARD TO GET PARTNER TO USE-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente."
53,15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC5,H1BC5,TRUE,import,S27Q5 INTERFERES WITH PLEASURE-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente."
54,15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC7,H1BC7,TRUE,import,S27Q7 BIRTHCONTROL USE MORALLY WRONG-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente."
55,15,Perceived barriers,BAP1-BAP3,Health Belief Model,Barriers to condom use or prevention,Health Belief Model construct,health_belief_model_construct,psychosocial_construct,Partial construct equivalence likely,Wave I to Wave III,Wave I,H1BC8,H1BC8,TRUE,import,S27Q8 BIRTHCONTROL=LOOKING FOR SEX-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,"Barreira/atitude sobre birth control; itens estão codificados de concordância forte a discordância forte, exigindo recodificação coerente."
56,17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1MO1,H1MO1,TRUE,import,S17Q1 IF SEX GAIN MORE RESPECT-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.
57,17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1MO2,H1MO2,TRUE,import,S17Q2 IF SEX LOSE PARTNER RESPECT-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.
58,17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1MO3,H1MO3,TRUE,import,S17Q3 IF SEX WOULD FEEL GUILTY-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.
59,17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1MO5,H1MO5,TRUE,import,S17Q5 IF SEX LOT OF PHYSICAL PLEASURE-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.
60,17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1PA3,H1PA3,TRUE,import,S34Q3 MOM-USE OF BIRTHCONTROL-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.
61,17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1PA6,H1PA6,TRUE,import,S34Q6 DAD-USE OF BIRTHCONTROL-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.
62,17,Attitudes,AIS1-AIS3; APC1-APC3,Theory of Planned Behaviour,"Attitudes toward sex, condom and contraception",Theory of Planned Behaviour construct,planned_behaviour_construct,psychosocial_construct,Construct-level equivalence likely,Wave I to Wave III,Wave I,H1PA7,H1PA7,TRUE,import,S34Q7 CONSIDER HAVING CHILD UNMARRIED-W1,public_use_confirmed,near_direct_equivalent,accepted_for_import,2 - import second,Atitude ou norma familiar relacionada com sexo/birth control; avaliar direção item a item antes de construir índice.
63,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1PR3,H1PR3,TRUE,import,S35Q3 PARENTS CARE ABOUT YOU-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
64,20,Family support,LFA3,Socioecological model,Family support or connectedness,Socioecological predictor or mediator,socioecological_family_construct,family_context,Construct-level equivalence likely,Wave I,Wave I,H1PR5,H1PR5,TRUE,import,S35Q5 FAMILY UNDERSTAND YOU-W1,public_use_confirmed,direct_equivalent,accepted_for_import,2 - import second,Indicador de suporte/conexão familiar. Verificar direção: escalas H1PR e H1WP já têm maior valor aproximadamente mais suporte.
