outcome,predictor,outcome_label,preliminary_outcome_decision,predictor_label,predictor_type_main,predictor_role,preliminary_modeling_decision,analysis_status,note
a_H1CO13_yesno,a_age_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,core_covariate,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1ED24,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1GH44,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1GH46,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1GI1M,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1GI1Y,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1GI20,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1HS9,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO10,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO11,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO12,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO13,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO14,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO2,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO5,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1MO9,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PA3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PA7,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PF12,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PF17,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PF6,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PF9,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PR2,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PR3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PR5,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PR7,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1PR8,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1RF1,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1RM1,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1RP3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1RP5,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1RP6,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1SE1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1SE2,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1SE3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1TS8,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1WP1,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1WP10,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1WP13,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1WP14,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1WP2,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1WP8,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_H1WP9,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_IMONTH,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_IYEAR,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_PA21,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO13_yesno,num_PA55,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,a_age_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,core_covariate,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,a_female,NA,candidate_outcome_for_bivariate_analysis,NA,binary,core_covariate,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,a_grade_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,core_covariate,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,derived_age_15_19_flag,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,derived_age_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,derived_grade_10_12_flag,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,derived_grade_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,derived_main_sample_flag,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,derived_strict_sample_flag,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_BIO_SEX,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC2,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC4,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC5,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC6,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC7,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1BC8,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1CO1,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1ED19,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1ED20,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1ED23,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1ED24,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1GH44,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1GH46,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1GI1M,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1GI1Y,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1GI20,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1HS9,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO10,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO11,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO12,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO13,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO14,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO2,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO5,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1MO9,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PA3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PA7,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PF12,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PF17,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PF6,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PF9,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PR2,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PR3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PR5,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PR7,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1PR8,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1RF1,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1RM1,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1RP3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1RP5,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1RP6,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1SE1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1SE2,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1SE3,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1TS8,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1WP1,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1WP10,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1WP13,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1WP14,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1WP2,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1WP8,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_H1WP9,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_IMONTH,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_IYEAR,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_PA21,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16A_yesno,num_PA55,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16C_yesno,a_age_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,core_covariate,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16C_yesno,a_female,NA,candidate_outcome_for_bivariate_analysis,NA,binary,core_covariate,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16C_yesno,a_grade_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,core_covariate,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16C_yesno,derived_age_15_19_flag,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16C_yesno,derived_age_wave1,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
a_H1CO16C_yesno,derived_grade_10_12_flag,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling,planned,Weighted bivariate screening only; not a multivariable model.
