sample_name,outcome,predictor,predictor_type,test_family,n_complete,public_n_complete,n_outcome_yes,n_outcome_no,n_predictor_levels,weighted_pct_outcome_yes_overall,effect_measure,effect_value,weighted_mean_predictor_yes,weighted_mean_predictor_no,p_value,test_status,p_value_bh,preliminary_bivariate_decision,effect_abs,outcome_label,preliminary_outcome_decision,predictor_label,predictor_type_main,predictor_role,preliminary_modeling_decision
main_grade_10_12,a_H1CO13_yesno,num_H1WP8,categorical,binary_outcome_by_categorical_predictor,434,434,325,109,8,76.64596440049048,range_weighted_pct_yes_across_predictor_categories,24.30446155385959,NA,NA,0.07213976074425915,rao_scott_chisq_completed,0.4197222443302351,no_bivariate_evidence,24.30446155385959,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO3,categorical,binary_outcome_by_categorical_predictor,458,458,343,115,5,76.58025370201568,range_weighted_pct_yes_across_predictor_categories,20.811409639469744,NA,NA,0.09270322141874944,rao_scott_chisq_completed,0.4786864596508188,no_bivariate_evidence,20.811409639469744,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC2,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,18.707456733454727,NA,NA,0.10903109397923375,rao_scott_chisq_completed,0.4786864596508188,no_bivariate_evidence,18.707456733454727,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1GH44,categorical,binary_outcome_by_categorical_predictor,480,480,363,117,5,77.17431284064449,range_weighted_pct_yes_across_predictor_categories,29.781278853119943,NA,NA,0.1136845028017121,rao_scott_chisq_completed,0.4786864596508188,no_bivariate_evidence,29.781278853119943,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO5,categorical,binary_outcome_by_categorical_predictor,456,456,342,114,5,76.75201929713133,range_weighted_pct_yes_across_predictor_categories,36.84443313380109,NA,NA,0.11679500397070439,rao_scott_chisq_completed,0.4786864596508188,no_bivariate_evidence,36.84443313380109,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1ED24,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,16.523273728137,NA,NA,0.12609485743232376,rao_scott_chisq_completed,0.4786864596508188,no_bivariate_evidence,16.523273728137,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC6,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,17.71524568618807,NA,NA,0.12715109084474874,rao_scott_chisq_completed,0.4786864596508188,no_bivariate_evidence,17.71524568618807,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC8,categorical,binary_outcome_by_categorical_predictor,480,480,363,117,5,77.30032755555034,range_weighted_pct_yes_across_predictor_categories,30.336451473967166,NA,NA,0.1650878442594643,rao_scott_chisq_completed,0.5629967993399723,no_bivariate_evidence,30.336451473967166,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PF6,categorical,binary_outcome_by_categorical_predictor,479,479,361,118,5,77.059511713003,range_weighted_pct_yes_across_predictor_categories,65.1066632142309,NA,NA,0.1713627789624061,rao_scott_chisq_completed,0.5629967993399723,no_bivariate_evidence,65.1066632142309,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC3,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,17.89882829282631,NA,NA,0.17593649979374132,rao_scott_chisq_completed,0.5629967993399723,no_bivariate_evidence,17.89882829282631,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1WP1,binary,binary_outcome_by_categorical_predictor,434,434,325,109,2,76.61170952482831,range_weighted_pct_yes_across_predictor_categories,5.069664279840538,NA,NA,0.25517341568022206,rao_scott_chisq_completed,0.7776713620730576,no_bivariate_evidence,5.069664279840538,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC1,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,5,77.0985085764902,range_weighted_pct_yes_across_predictor_categories,21.909896351806502,NA,NA,0.30767017395804297,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,21.909896351806502,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1RP3,categorical,binary_outcome_by_categorical_predictor,479,479,361,118,5,77.05668461487606,range_weighted_pct_yes_across_predictor_categories,22.496137860460195,NA,NA,0.3284601137085448,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,22.496137860460195,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PR5,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,6,77.0983493219413,range_weighted_pct_yes_across_predictor_categories,29.87042494441455,NA,NA,0.3442441655668728,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,29.87042494441455,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,derived_age_15_19_flag,binary,binary_outcome_by_categorical_predictor,481,481,363,118,2,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,22.982720855701857,NA,NA,0.35290719577003915,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,22.982720855701857,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,derived_strict_sample_flag,binary,binary_outcome_by_categorical_predictor,481,481,363,118,2,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,22.982720855701857,NA,NA,0.35290719577003915,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,22.982720855701857,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO10,categorical,binary_outcome_by_categorical_predictor,458,458,344,114,5,76.69525263963112,range_weighted_pct_yes_across_predictor_categories,12.616355303019276,NA,NA,0.4009466818666373,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,12.616355303019276,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_IMONTH,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,9,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,31.30744879771794,NA,NA,0.41927546290239026,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,31.30744879771794,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1TS8,binary,binary_outcome_by_categorical_predictor,481,481,363,118,2,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,5.812877454765015,NA,NA,0.43530941340758056,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,5.812877454765015,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1WP14,categorical,binary_outcome_by_categorical_predictor,268,268,205,63,5,77.86145252727735,range_weighted_pct_yes_across_predictor_categories,39.7930345698279,NA,NA,0.4486217063481889,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,39.7930345698279,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PR7,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,6,77.0983493219413,range_weighted_pct_yes_across_predictor_categories,38.53847406886535,NA,NA,0.4507098425857621,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,38.53847406886535,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,a_grade_wave1,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,3,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,6.703581800876563,NA,NA,0.45329544433744134,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,6.703581800876563,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,core_covariate,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,derived_grade_wave1,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,3,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,6.703581800876563,NA,NA,0.45329544433744134,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,6.703581800876563,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,script05_derived_variable,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1GI20,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,3,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,6.703581800876563,NA,NA,0.45329544433744134,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,6.703581800876563,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PR8,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,6,77.0983493219413,range_weighted_pct_yes_across_predictor_categories,15.998517775888658,NA,NA,0.4768723458926414,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,15.998517775888658,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1BC4,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,16.009879405966075,NA,NA,0.48741512446048774,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,16.009879405966075,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1WP2,binary,binary_outcome_by_categorical_predictor,435,435,326,109,2,76.68760969573825,range_weighted_pct_yes_across_predictor_categories,5.089807487639007,NA,NA,0.4948359244666408,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,5.089807487639007,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1GI1Y,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,7,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,31.101615853182324,NA,NA,0.5088391173563287,rao_scott_chisq_completed,0.8365048708618193,no_bivariate_evidence,31.101615853182324,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_PA55,continuous,binary_outcome_by_continuous_predictor,338,338,265,73,NA,79.66414460895031,weighted_mean_difference_yes_minus_no,2.969574488876084,42.37197414446537,39.402399655589285,0.5097451556814212,weighted_t_test_completed,0.8365048708618193,no_bivariate_evidence,2.969574488876084,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO12,categorical,binary_outcome_by_categorical_predictor,459,459,344,115,5,76.63795894387228,range_weighted_pct_yes_across_predictor_categories,11.552078937620152,NA,NA,0.5699680356293082,rao_scott_chisq_completed,0.8787984093337413,no_bivariate_evidence,11.552078937620152,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1HS9,binary,binary_outcome_by_categorical_predictor,481,481,363,118,2,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,2.6871199631994784,NA,NA,0.5765249165426469,rao_scott_chisq_completed,0.8787984093337413,no_bivariate_evidence,2.6871199631994784,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1WP10,categorical,binary_outcome_by_categorical_predictor,420,420,312,108,4,76.04539221144648,range_weighted_pct_yes_across_predictor_categories,29.16772196680717,NA,NA,0.5767114561252678,rao_scott_chisq_completed,0.8787984093337413,no_bivariate_evidence,29.16772196680717,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO9,categorical,binary_outcome_by_categorical_predictor,457,457,343,114,5,76.65571561744507,range_weighted_pct_yes_across_predictor_categories,9.097804545098725,NA,NA,0.6042924444201317,rao_scott_chisq_completed,0.899412010299731,no_bivariate_evidence,9.097804545098725,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1RP5,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,5,77.11734315548674,range_weighted_pct_yes_across_predictor_categories,10.988220830759971,NA,NA,0.6360193668795053,rao_scott_chisq_completed,0.8995278834156318,no_bivariate_evidence,10.988220830759971,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PR2,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,6,77.0983493219413,range_weighted_pct_yes_across_predictor_categories,30.83106041277655,NA,NA,0.6480775437692644,rao_scott_chisq_completed,0.8995278834156318,no_bivariate_evidence,30.83106041277655,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO13,categorical,binary_outcome_by_categorical_predictor,459,459,344,115,5,76.63795894387228,range_weighted_pct_yes_across_predictor_categories,10.905641351388681,NA,NA,0.6907999246515467,rao_scott_chisq_completed,0.8995278834156318,no_bivariate_evidence,10.905641351388681,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PF9,categorical,binary_outcome_by_categorical_predictor,472,472,356,116,5,77.19021864332647,range_weighted_pct_yes_across_predictor_categories,17.552785494937694,NA,NA,0.694398410659463,rao_scott_chisq_completed,0.8995278834156318,no_bivariate_evidence,17.552785494937694,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO1,categorical,binary_outcome_by_categorical_predictor,458,458,344,114,5,76.91502151554187,range_weighted_pct_yes_across_predictor_categories,21.158497788407274,NA,NA,0.694987872205048,rao_scott_chisq_completed,0.8995278834156318,no_bivariate_evidence,21.158497788407274,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1GH46,categorical,binary_outcome_by_categorical_predictor,480,480,363,117,5,77.17431284064449,range_weighted_pct_yes_across_predictor_categories,18.36787693203749,NA,NA,0.7020028879144734,rao_scott_chisq_completed,0.8995278834156318,no_bivariate_evidence,18.36787693203749,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO14,categorical,binary_outcome_by_categorical_predictor,459,459,344,115,5,76.63795894387228,range_weighted_pct_yes_across_predictor_categories,8.712928725520328,NA,NA,0.7027561589184623,rao_scott_chisq_completed,0.8995278834156318,no_bivariate_evidence,8.712928725520328,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,derived_age_wave1,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,7,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,34.58851826685439,NA,NA,0.7253512941956084,rao_scott_chisq_completed,0.9102447613435085,no_bivariate_evidence,34.58851826685439,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,script05_derived_variable,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1ED19,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,7.967483939409547,NA,NA,0.7472805296195618,rao_scott_chisq_completed,0.916500686755469,no_bivariate_evidence,7.967483939409547,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1ED23,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,7.113630141825411,NA,NA,0.7589771312193728,rao_scott_chisq_completed,0.916500686755469,no_bivariate_evidence,7.113630141825411,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,a_age_wave1,continuous,binary_outcome_by_continuous_predictor,481,481,363,118,NA,77.15598536211316,weighted_mean_difference_yes_minus_no,0.0337890160285923,17.172154148348927,17.138365132320335,0.7746745518944095,weighted_t_test_completed,0.918132802245226,no_bivariate_evidence,0.0337890160285923,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,core_covariate,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1GI1M,continuous,binary_outcome_by_continuous_predictor,481,481,363,118,NA,77.15598536211316,weighted_mean_difference_yes_minus_no,0.09684259097922432,6.789136078624441,6.692293487645217,0.8237926502482109,weighted_t_test_completed,0.9485587744753937,no_bivariate_evidence,0.09684259097922432,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PF17,categorical,binary_outcome_by_categorical_predictor,472,472,355,117,5,76.9471496470912,range_weighted_pct_yes_across_predictor_categories,6.707408581973837,NA,NA,0.8410121504460787,rao_scott_chisq_completed,0.9485587744753937,no_bivariate_evidence,6.707408581973837,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PR3,categorical,binary_outcome_by_categorical_predictor,480,480,362,118,5,77.0983493219413,range_weighted_pct_yes_across_predictor_categories,24.849113477904453,NA,NA,0.84877286284113,rao_scott_chisq_completed,0.9485587744753937,no_bivariate_evidence,24.849113477904453,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_PA21,binary,binary_outcome_by_categorical_predictor,370,370,287,83,2,79.08534828070061,range_weighted_pct_yes_across_predictor_categories,1.2811549450320854,NA,NA,0.8596313893683256,rao_scott_chisq_completed,0.9485587744753937,no_bivariate_evidence,1.2811549450320854,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1RP6,categorical,binary_outcome_by_categorical_predictor,477,477,359,118,5,76.90705285484358,range_weighted_pct_yes_across_predictor_categories,8.322718565596347,NA,NA,0.8764660498729019,rao_scott_chisq_completed,0.9507428337604359,no_bivariate_evidence,8.322718565596347,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1ED20,categorical,binary_outcome_by_categorical_predictor,481,481,363,118,5,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,6.621221988628605,NA,NA,0.8950430241833462,rao_scott_chisq_completed,0.9547125591289026,no_bivariate_evidence,6.621221988628605,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1PA7,binary,binary_outcome_by_categorical_predictor,458,458,344,114,2,76.78076229084354,range_weighted_pct_yes_across_predictor_categories,0.4324094912179959,NA,NA,0.9219538114267785,rao_scott_chisq_completed,0.9672958021526856,no_bivariate_evidence,0.4324094912179959,NA,candidate_outcome_for_bivariate_analysis,NA,binary,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1MO11,categorical,binary_outcome_by_categorical_predictor,456,456,341,115,5,76.50866465223389,range_weighted_pct_yes_across_predictor_categories,8.209510947284457,NA,NA,0.9693983659329883,rao_scott_chisq_completed,0.9794222282342652,no_bivariate_evidence,8.209510947284457,NA,candidate_outcome_for_bivariate_analysis,NA,categorical,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1RF1,continuous,binary_outcome_by_continuous_predictor,262,262,200,62,NA,77.59954562838561,weighted_mean_difference_yes_minus_no,0.011099166027942253,5.393932344458611,5.382833178430669,0.9793987704702163,weighted_t_test_completed,0.9794222282342652,no_bivariate_evidence,0.011099166027942253,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,num_H1RM1,continuous,binary_outcome_by_continuous_predictor,419,419,311,108,NA,76.02827828510186,weighted_mean_difference_yes_minus_no,-0.00818746988877006,5.262801514049365,5.270988983938135,0.9794222282342652,weighted_t_test_completed,0.9794222282342652,no_bivariate_evidence,0.00818746988877006,NA,candidate_outcome_for_bivariate_analysis,NA,continuous,numeric_cleaned_item,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,a_female,binary,binary_outcome_by_categorical_predictor,481,481,363,118,1,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,0,NA,NA,NA,insufficient_complete_cases_or_cells,NA,test_not_available,0,NA,candidate_outcome_for_bivariate_analysis,NA,binary,core_covariate,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,derived_grade_10_12_flag,binary,binary_outcome_by_categorical_predictor,481,481,363,118,1,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,0,NA,NA,NA,insufficient_complete_cases_or_cells,NA,test_not_available,0,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling
main_grade_10_12,a_H1CO13_yesno,derived_main_sample_flag,binary,binary_outcome_by_categorical_predictor,481,481,363,118,1,77.15598536211316,range_weighted_pct_yes_across_predictor_categories,0,NA,NA,NA,insufficient_complete_cases_or_cells,NA,test_not_available,0,NA,candidate_outcome_for_bivariate_analysis,NA,binary,script05_derived_variable,candidate_for_modeling
